Number,Title,Category,Sub-category,Author,Co-authors,Votes For,Votes Against,Date Implemented
58,Right To Privacy,Human Rights,Strong,Greenlandic People,,3474,1767,2009-08-21
59,The Right To Education,Education and Creativity,Educational,Meekinos,Charlotte Ryberg,4374,1176,2009-08-29
60,Nuclear Disaster Response Act,International Security,Strong,Veilyonia,,4725,985,2009-09-02
61,WA Copyright Charter,Education and Creativity,Artistic,Glen-Rhodes,,3894,1335,2009-09-10
62,For The Detained And Convicted,Human Rights,Significant,R539,Meekinos,3115,2474,2009-09-14
63,Protection Of Outer Space Act,Environmental,All Businesses,Stash Kroh,,3995,1450,2009-09-18
64,Food And Drug Standards,Social Justice,Significant,Greenlandic People,,3178,1864,2009-09-26
65,Biological Weapons Conference,Global Disarmament,Significant,Bergnovinaia,,3490,2146,2009-09-30
66,Endangered Species Protection,Environmental,All Businesses,Burninati0n,,4082,1381,2009-10-08
67,Habeas Corpus,Human Rights,Significant,Gobbannium,,4398,1636,2009-10-16
68,National Economic Freedoms,Free Trade,Strong,Krioval,,4748,1365,2009-10-20
69,Protection Of Monuments,Education and Creativity,Cultural Heritage,The Autumn Clans,,4326,1774,2009-10-30
70,International Competition Law,Free Trade,Significant,Glen-Rhodes,,3679,2019,2009-11-03
71,"Repeal: ""Protection Of Monuments""",Repeal,69,Grays Harbor,,3902,2291,2009-11-11
72,Cultural Heritage Protection,Education and Creativity,Cultural Heritage,Bergnovinaia,Charlotte Ryberg,4173,1833,2009-11-20
73,International Postal Union,Free Trade,Mild,Grays Harbor,Charlotte Ryberg,4292,1320,2009-12-19
74,Medical Blockade Restriction,Free Trade,Strong,Philimbesi,,4299,1371,2010-01-10
75,International Radio Act,Free Trade,Mild,Linux And The X,,4328,1505,2010-01-26
76,Standardised Passport Act,Political Stability,Mild,Cobdenia,,3573,1842,2010-02-03
77,"Repeal: ""The Right To Education""",Repeal,59,Jey,,3263,2610,2010-02-11
78,Universal Library Coalition,Education and Creativity,Cultural Heritage,Mousebumples,,5095,693,2010-02-15
79,Ban On Ex Post Facto Laws,Human Rights,Significant,Hiriaurtung Arororugul,,4372,1188,2010-02-23
80,A Promotion Of Basic Education,Education and Creativity,Educational,Sionis Prioratus,Unibot,4605,1550,2010-03-03
81,Disaster Preparedness Act,International Security,Mild,Topid,,4056,1988,2010-03-07
82,Universal Clinical Trials Act,Social Justice,Mild,Revolutionist Britain,,3981,2260,2010-03-11
83,International Road Safety,Free Trade,Mild,New Rockport,,3212,2996,2010-03-16
84,A Ban On Forced Disappearances,Furtherment of Democracy,Significant,Unibotian WA Mission,,3645,1941,2010-03-20
85,"Repeal: ""Disaster Preparedness Act""",Repeal,81,Charlotte Ryberg,,3062,2777,2010-03-24
86,Museums Of Musical Heritage,Education and Creativity,Cultural Heritage,Serrland,,3944,1811,2010-03-28
87,Meteorological Cooperation,Free Trade,Mild,Bears Armed Mission,St Edmund,5036,958,2010-04-01
88,WA Numeration And Units Act,Education and Creativity,Cultural Heritage,Unibotian WA Mission,,4044,1289,2010-04-11
89,Internet Net Neutrality Act,Education and Creativity,Free Press,Misrahistan,,4506,1220,2010-04-16
90,Drug Trafficking Act,International Security,Mild,Enn,,4391,1623,2010-04-20
91,A Convention On Gender,Human Rights,Significant,Sionis Prioratus,,3363,2560,2010-04-28
92,Cooperation In Science Act,Education and Creativity,Educational,Gotham Network,,5033,997,2010-05-02
93,The General Patent Charter,Free Trade,Mild,Charlotte Ryberg,,4435,1701,2010-05-06
94,Microcredit And Microgrants,Free Trade,Mild,Glen-Rhodes,,3830,2215,2010-05-10
95,Responsible Offshore Drilling,Environmental,All Businesses,Embolalia,,3803,2562,2010-05-22
96,The Clean Water Resolution,Social Justice,Significant,Pan Master,,3316,3144,2010-05-26
97,Quality In Health Services,Social Justice,Significant,Sionis Prioratus,,3517,1903,2010-05-30
98,Oil Tanker Standards Act,Environmental,All Businesses,New Tarsas,,4891,1580,2010-06-03
99,Multilateral Prosecution Act,Human Rights,Mild,Unibotian WA Mission,,3881,1893,2010-06-11
100,Anti-Cyberterrorism Act,International Security,Mild,American Capitalist,Charlotte Ryberg,3330,2955,2010-06-15
101,"Repeal: ""The Clean Water Resolution""",Repeal,96,Grays Harbor,New Rockport,4285,1537,2010-06-23
102,International Criminal Court,Human Rights,Significant,Quelesh,,3679,2050,2010-06-27
103,International Drug Education,Education and Creativity,Educational,Mousebumples,,4449,940,2010-07-11
104,Nautical Pilotage Act,International Security,Mild,Unibotian WA Mission,,4501,932,2010-07-26
105,Preparing For Disasters,International Security,Mild,Topid,Cievan,3376,1922,2010-08-03
106,Assitance Givers Protection,Advancement of Industry,Tort Reform,Bergnovinaia,,3501,2012,2010-08-07
107,Clean Water Act,Social Justice,Significant,Embolalia,,4117,1556,2010-08-11
108,For The Wrongly Convicted,Human Rights,Significant,The Ainocran Embassy,,2962,2414,2010-08-15
109,Rights Of The Orphaned Child,Human Rights,Mild,Sanctaria,,4019,1446,2010-08-19
110,Identity Theft Prevention Act,International Security,Mild,American Capitalist,Quadrimmina,3936,1601,2010-09-06
111,Medical Research Ethics Act,Human Rights,Significant,Quadrimmina,Manticore Reborn,3710,1877,2010-09-14
112,Convention On Execution,Human Rights,Strong,Glen-Rhodes,Unibot,3436,2280,2010-09-18
113,The Gem Trading Accord,Free Trade,Significant,Urgench,,3013,2940,2010-09-22
114,On Female Genital Mutilation,Human Rights,Significant,Quelesh,,5009,665,2010-10-04
115,Space Research Station Program,Education and Creativity,Educational,Northern Itasca,Libertytopia,4632,1314,2010-10-09
116,Nuclear Waste Safety Act,International Security,Significant,Erythrina,,3680,2191,2010-10-17
117,Delineation Of Borders Act,Political Stability,Mild,Serrland,,3661,2446,2010-10-21
118,Ethics In International Trade,Advancement of Industry,Protective Tariffs,Unibotian WA Mission,,3153,2650,2010-10-25
119,Nuclear Testing Safety,Global Disarmament,Significant,Darenjo,Cardoness,3103,2631,2010-11-02
120,Missing Minors Database,International Security,Mild,Wildeson,Meekinos,3262,2398,2010-11-20
121,Medical Facilities Protection,Global Disarmament,Mild,Warzone Codger,The New Aryan State,4495,1660,2010-11-30
122,Read The Resolution Act,Furtherment of Democracy,Mild,Knootoss,,4594,2241,2010-12-04
123,Reducing Problem Gambling,Education and Creativity,Educational,Charlotte Ryberg,Knootoss,3861,2675,2010-12-08
124,Essential Medication Act,Recreational Drug Use,Legalize,Mousebumples,,4532,1807,2010-12-22
125,"Repeal: ""Missing Minors Database""",Repeal,120,Darenjon WA Embassy,Quelesh,4884,1165,2011-01-01
126,Extinction Preparation Act,Education and Creativity,Educational,The Associated Peoples,The Coyote Coalition,4442,3800,2011-01-06
127,Conscientious Objector Act,Human Rights,Significant,Otrenia,,4616,4578,2011-01-10
128,On Abortion,Human Rights,Mild,Charlotte Ryberg,,6359,2556,2011-01-14
129,"Repeal: ""Conscientious Objector Act""",Repeal,127,Diogenes Epicurius,,5747,2598,2011-01-18
130,Elections And Assistance Act,Furtherment of Democracy,Significant,Glen-Rhodes,,5374,2635,2011-01-22
131,Missing Minors Act,International Security,Mild,Mahaj WA Seat,,6404,1959,2011-02-01
132,Military Freedom Act,Furtherment of Democracy,Significant,Embolalia,,4737,2925,2011-02-05
133,"Repeal: ""Missing Minors Act""",Repeal,131,Sanctaria,,6446,1996,2011-02-09
134,Guns And Mental Capacity,Gun Control,Tighten,Darenjo,,6027,3277,2011-02-15
135,Universal Standard Time Act,Free Trade,Mild,Opiachus,,6342,3060,2011-02-19
136,Convention On Wartime Deceased,Moral Decency,Mild,Serrland,,5922,3455,2011-02-23
137,"Repeal: ""Universal Standard Time Act""",Repeal,135,Krioval,,5520,4014,2011-02-27
138,"Repeal: ""Space Research Station Program""",Repeal,115,Darenjo,,6806,2814,2011-03-03
139,Consumer Product Safety,Social Justice,Mild,Cool Egg Sandwich,,6047,3640,2011-03-07
140,Institutional Psychiatry Act,Human Rights,Significant,Unibotian WA Mission,,6403,2277,2011-03-11
141,Permit Male Circumcision,Human Rights,Mild,Knootoss,,6495,2986,2011-03-16
142,In Regards To Cloning,Human Rights,Mild,Mahaj WA Seat,Cool Egg Sandwich,5261,4520,2011-03-20
143,"Repeal: ""In Regards To Cloning""",Repeal,142,Parallaxium,,7762,2954,2011-03-30
144,"Repeal: ""Neutrality Of Nations""",Repeal,14,Sionis Prioratus,,8253,2620,2011-04-09
145,Animal Cruelty Prevention,Moral Decency,Mild,Luthiland,,7911,2850,2011-04-13
146,Recognising Achievements Act,Free Trade,Mild,Ossitania,Knootoss,7529,2962,2011-04-17
147,Extradition Rights,Human Rights,Significant,Knootoss,,8071,2828,2011-04-21
148,Against Conflict Minerals,Free Trade,Mild,Unibotian WA Mission,,7882,2586,2011-04-25
149,On Expiration Dates,Social Justice,Mild,A Mean Old Man,,8902,2228,2011-04-29
150,"Repeal: ""Guns And Mental Capacity""",Repeal,134,Mousebumples,Intellect And The Arts,10272,1639,2011-05-15
151,Missing Individuals Act,International Security,Mild,Mousebumples,,10118,2615,2011-05-19
152,"Repeal: ""WA Environmental Council""",Repeal,42,Cool Egg Sandwich,Mousebumples,9564,2575,2011-05-23
153,"Repeal: ""Biological Weapons Conference""",Repeal,65,Knootoss,,10423,2260,2011-06-01
154,"Repeal: ""Extinction Preparation Act""",Repeal,126,Mallorea And Riva,Mousebumples,10499,1615,2011-06-14
155,Freedom Of The Press,Education and Creativity,Free Press,Broughdom,,9290,3670,2011-06-18
156,Safety In Difficult Times,Social Justice,Significant,Sionis Prioratus,,8194,3693,2011-07-04
157,"Repeal: ""Safety In Difficult Times""",Repeal,156,Freewilltoall,Arivali,7652,3599,2011-07-16
158,On Genetically Modified Foods,Free Trade,Mild,Mahaj WA Seat,,8534,2923,2011-07-20
159,Promotion Of Intl Education,Education and Creativity,Educational,WA Mission Of Nerv-Un,,7949,3090,2011-07-24
160,Forced Marriages Ban Act,Human Rights,Mild,Christian Democrats,,8695,2363,2011-08-16
161,Medical Standards In Prisons,Human Rights,Significant,Connopolis,Mousebumples,7177,4044,2011-08-20
162,On Humanitarian Aid,Human Rights,Significant,Connopolis,,6638,4172,2011-08-28
163,"Repeal: ""Law Of The Sea""",Repeal,47,Goddess Relief Office,A Mean Old Man,8942,2053,2011-09-01
164,Consular Rights,Human Rights,Mild,Topid,,9325,1118,2011-09-07
165,A Model World Assembly,Education and Creativity,Educational,Mahaj WA Seat,,6624,4018,2011-09-12
166,"Repeal: ""On Humanitarian Aid""",Repeal,162,Glen-Rhodes,,7409,2888,2011-09-16
167,Legalizing Prostitution,Free Trade,Significant,Great Azarath,Connopolis,6343,4954,2011-10-09
168,Law Of The Seas,Global Disarmament,Mild,Bears Armed Mission,Cobdenia,7319,3987,2011-10-14
169,Social Assistance Accord,Social Justice,Significant,Connopolis,,7091,4090,2011-10-18
170,Protect War Correspondents,Human Rights,Significant,Antartica55,Connopolis,8126,3365,2011-11-09
171,Freedom In Medical Research,Free Trade,Significant,Connopolis,Quadrimmina,8216,2616,2011-11-21
172,International Expositions Act,Education and Creativity,Cultural Heritage,Astro-Malsitari WA Seat,Connopolis,8230,2820,2011-12-01
173,"Repeal: ""Social Assistance Accord""",Repeal,169,Knootoss,Unibot II,8997,2248,2011-12-05
174,Right To Petition,Furtherment of Democracy,Mild,Knootoss,,8647,2318,2011-12-15
175,Organ And Blood Donations Act,Social Justice,Significant,Christian Democrats,,7954,3791,2011-12-23
176,Disability Welfare Act,Social Justice,Significant,Sanctaria,,6753,2531,2011-12-27
177,Concerning Financial Fraud,Free Trade,Significant,Connopolis,Ossitania,6215,4363,2012-01-07
178,"Repeal: ""Legalizing Prostitution""",Repeal,167,Alqania,,6501,4631,2012-01-20
179,Clean Prostitute Act,Free Trade,Mild,Flibbleites,,10639,1309,2012-01-28
180,A Decriminalization Of Suicide,Human Rights,Significant,Unibotian WA Mission,,10179,1962,2012-02-01
181,"Repeal: ""Medical Blockade Restriction""",Repeal,74,Connopolis,,9091,2429,2012-02-05
182,Renewable Research Commitment,Environmental,All Businesses,Delegate Vinage,Individuality-Ness,8115,3499,2012-02-20
183,Defense Of Self And Others,Human Rights,Significant,Ossitania,,8566,3185,2012-02-24
184,"Repeal: ""Habeas Corpus""",Repeal,67,Quelesh,,8419,2560,2012-02-28
185,"Repeal: ""WA Copyright Charter""",Repeal,61,Embolalia,,8880,1851,2012-03-07
186,Medical Provisions In Blockade,Free Trade,Significant,Damanucus,Connopolis,9583,1699,2012-03-12
187,Double Jeopardy Prohibition,Human Rights,Significant,Quelesh,,5947,5247,2012-03-16
188,"Repeal: ""A Model World Assembly""",Repeal,165,Mallorea And Riva,Mousebumples,8787,2249,2012-03-20
189,"Repeal: ""For The Detained And Convicted""",Repeal,62,Mousebumples,,9756,1434,2012-04-05
190,Habeas Corpus Act,Human Rights,Strong,Quelesh,,8166,2714,2012-04-10
191,"Repeal: ""Animal Cruelty Prevention""",Repeal,145,Sciongrad,Knootoss,5780,5174,2012-04-18
192,"Repeal: ""Right To Privacy""",Repeal,58,Weed,,6354,4003,2012-04-22
193,"Repeal: ""Double Jeopardy Prohibition""",Repeal,187,Mousebumples,Mallorea And Riva,9388,1755,2012-04-26
194,Treatment Of Inmates,Human Rights,Significant,Moronist Decisions,,8271,3026,2012-04-30
195,"Repeal: ""Habeas Corpus Act""",Repeal,190,Mousebumples,,8944,1775,2012-05-04
196,Freedom Of Information Act,Furtherment of Democracy,Significant,Auralia,Quadrimmina,6396,5168,2012-05-08
197,Banning Extrajudicial Transfer,Human Rights,Significant,Quadrimmina,,7810,3278,2012-05-12
198,Preventing Multiple Trials,Human Rights,Significant,Moronist Decisions,Ossitania,7757,3078,2012-05-20
199,Sustainable Fishing Act,Environmental,All Businesses,Cowardly Pacifists,Bears Armed,9088,1697,2012-05-28
200,Foreign Marriage Recognition,Human Rights,Mild,Christian Democrats,,6045,5079,2012-06-05
201,Habeas Corpus,Human Rights,Significant,Sanctaria,,9126,2096,2012-06-09
202,Convict Appellate Rights,Human Rights,Significant,Ossitania,,9075,1902,2012-06-13
203,"Repeal: ""Nautical Pilotage Act""",Repeal,104,Moronist Decisions,Mousebumples,8927,1898,2012-06-17
204,Nuclear Power Safety Act,Environmental,Uranium Mining,Silvadus,Lestaria And Neuchies,7976,2884,2012-06-21
205,Freedom To Contract,Human Rights,Strong,Cowardly Pacifists,,8806,1748,2012-06-25
206,"Repeal: ""Delineation Of Borders Act""",Repeal,117,Ossitania,,7975,1125,2012-06-29
207,Intangible Cultural Heritage,Education and Creativity,Cultural Heritage,Ile Royale,,7029,3120,2012-07-03
208,Resolving WA Trade Disputes,Free Trade,Significant,Auralia,,7321,2054,2012-07-07
209,World Assembly Trade Rights,Free Trade,Strong,Auralia,,7066,2420,2012-07-28
210,"Repeal: ""Numismatics Appreciation Act""",Repeal,56,Sciongrad,,8086,1466,2012-08-05
211,"Repeal: ""On Expiration Dates""",Repeal,149,Sciongrad,,9036,930,2012-08-17
212,"Repeal: ""Nuclear Power Safety Act""",Repeal,204,Bergnovinaia,Ossitania,6501,3615,2012-08-21
213,Privacy Protection Act,Human Rights,Significant,Christian Democrats,,7427,3173,2012-08-25
214,"Repeal: ""Intangible Cultural Heritage""",Repeal,207,Sciongrad,,8694,1121,2012-08-31
215,"Repeal: ""Organ And Blood Donations Act""",Repeal,175,Mousebumples,,8832,1241,2012-09-04
216,"Repeal: ""Stem Cells For Greater Health""",Repeal,49,Mousebumples,Oliver The Mediocre,8079,1466,2012-09-08
217,Biomedical Donor Rights,Human Rights,Significant,Mousebumples,,8856,816,2012-09-19
218,Biomedical Recipient Rights,Human Rights,Significant,Mousebumples,,8682,1020,2012-09-23
219,Biomedical Innovation Org,Education and Creativity,Educational,Mousebumples,,8850,1130,2012-09-27
220,"Repeal: ""Child Protection Act""",Repeal,19,Mousebumples,,8434,1425,2012-10-01
221,On Multilateral Trade Talks,Free Trade,Mild,Auralia,,5133,4146,2012-10-05
222,Prevention Of Child Abuse,Human Rights,Significant,Sanctaria,The Dourian Embassy,9348,1002,2012-10-09
223,Transboundary Water Use Act,Environmental,All Businesses,Anime Daisuki,,8421,1743,2012-10-26
224,Promotion Of Bee-Keeping,Free Trade,Mild,Bears Armed Mission,,8599,2463,2012-11-02
225,"Repeal: ""Assitance Givers Protection""",Repeal,106,The Dourian Embassy,,9744,1004,2012-11-06
226,WA Development Foundation,Free Trade,Mild,Auralia,,7156,4706,2012-11-23
227,Rights Of The Disabled Act,Human Rights,Significant,Imperium Londinium,,8899,3686,2012-11-27
228,Animal Protection Act,Moral Decency,Significant,Ilstoria,,6922,6083,2012-12-01
229,Access To Courts,Social Justice,Mild,Cowardly Pacifists,,9959,2696,2012-12-05
230,The Early Learning Act,Education and Creativity,Educational,Isalenoria,,10824,2758,2012-12-17
231,Marital Rape Justice Act,Moral Decency,Mild,Christian Democrats,,9741,2246,2012-12-25
232,Foreign Copyright Recognition,Free Trade,Mild,Auralia,,8810,2581,2012-12-29
233,Ban Profits On Workers' Deaths,Social Justice,Mild,Sionis Prioratus,Christian Democrats,9205,2260,2013-01-03
234,Freedom To Read And Learn,Human Rights,Significant,Sionis Prioratus,,10554,1830,2013-01-07
235,Child Firearm Safety Act,Gun Control,Tighten,Cowardly Pacifists,,8543,3924,2013-01-11
236,Renewable Energy Installations,Environmental,All Businesses,Abacathea,,7948,4890,2013-01-15
237,First Responder Protection Act,Human Rights,Mild,Bushsucks-Istan,Oppe Ruiver,8184,4093,2013-01-20
238,"Repeal: ""Marital Rape Justice Act""",Repeal,231,Ossitania,,9040,3485,2013-02-02
239,Vehicle Emissions Convention,Environmental,Automobile Manufacturing,Abacathea,,8453,5055,2013-02-14
240,Sexual Autonomy Guarantee,Human Rights,Significant,Ossitania,,11506,1342,2013-02-18
241,"Repeal: ""Consumer Product Safety""",Repeal,139,Sciongrad,,8405,4080,2013-02-27
242,Biological Warfare Convention,Global Disarmament,Significant,Sciongrad,,8606,4245,2013-03-03
243,Language Preservation,Education and Creativity,Cultural Heritage,Ile Royale,,10898,3080,2013-03-11
244,Physical Sites Protection Act,Environmental,All Businesses,Ceni,,7590,5846,2013-03-15
245,"Repeal: ""First Responder Protection Act""",Repeal,237,Suevo-Prussia,,10960,1573,2013-03-23
246,"Repeal: ""Vehicle Emissions Convention""",Repeal,239,Auralia,,10051,2398,2013-03-27
247,Rights Of Crime Victims,Human Rights,Significant,Cowardly Pacifists,,10327,2976,2013-04-07
248,Against Corruption,Political Stability,Significant,Topid,,9319,4745,2013-04-17
249,Stopping Suicide Seeds,Environmental,All Businesses,Christian Democrats,,9956,4312,2013-05-16
250,"Repeal: ""Reduction Of Abortion Act""",Repeal,44,Studly Penguins,,9183,3977,2013-05-28
251,"Repeal: ""Physical Sites Protection Act""",Repeal,244,The Dourian Embassy,Gatchina,9593,3160,2013-06-01
252,"Repeal: ""International Competition Law""",Repeal,70,The Dourian Embassy,Glen-Rhodes,10951,1634,2013-06-11
253,"Repeal: ""Freedom In Medical Research""",Repeal,171,Christian Democrats,,8777,2728,2013-06-28
254,Invasive Species Response Act,Environmental,All Businesses,Icamera,Ceni,7321,3817,2013-07-07
255,Rights Of Neutral States,Global Disarmament,Mild,Sciongrad,,5833,5508,2013-07-16
256,Foreign Trademark Recognition,Free Trade,Mild,Auralia,,8347,1774,2013-07-20
257,Reducing Automobile Emissions,Environmental,Automobile Manufacturing,Abacathea,,8365,2390,2013-07-29
258,"Repeal: ""Invasive Species Response Act""",Repeal,254,Bergnovinaia,Discoveria,8908,1814,2013-08-06
259,Stopping Invasive Species,Environmental,All Businesses,Ceni,Icamera,7615,3517,2013-08-12
260,"Repeal: ""Access To Science In Schools""",Repeal,48,Auralia,,6046,4816,2013-08-17
261,Rainforest Protection Act,Environmental,Woodchipping,The Scientific States,Grobladonia,8966,3001,2013-08-21
262,"Repeal: ""Rainforest Protection Act""",Repeal,261,Auralia,,6429,5183,2013-09-10
263,Uranium Mining Standards Act,Environmental,Uranium Mining,Abacathea,,6868,4126,2013-09-14
264,"Repeal: ""Language Preservation""",Repeal,243,Saveyou Island,The Last Homely House,8154,2756,2013-09-22
265,"Repeal: ""Animal Protection Act """,Repeal,228,The Dourian Embassy,,9762,2259,2013-10-11
266,Chemical Weapons Protocol,International Security,Mild,Chester Pearson,,6857,5431,2013-10-15
267,Sensible Limits On Hunting,Moral Decency,Mild,Bears Armed Mission,Hirota,7463,5398,2013-10-30
268,"Repeal: ""Chemical Weapons Protocol""",Repeal,266,The Dourian Embassy,Chester Pearson,10731,2036,2013-11-04
269,"Repeal: ""Against Corruption""",Repeal,248,The Dourian Embassy,Cormac A Stark,10679,1850,2013-11-08
270,"Repeal: ""Rights Of The Disabled Act""",Repeal,227,Mosktopia,,10464,1936,2013-11-12
271,"Repeal: ""Protection Of Outer Space Act""",Repeal,63,The Dourian Embassy,,10895,1491,2013-11-21
272,Chemical Weapons Accord,International Security,Mild,Chester Pearson,The Dourian Embassy,6689,5712,2013-11-25
273,"Repeal: ""Internet Net Neutrality Act""",Repeal,89,Auralia,,10019,2395,2013-11-29
274,"Repeal: ""Renewable Energy Installations""",Repeal,236,Mosktopia,Mousebumples,10385,1944,2013-12-03
275,"Repeal: ""Cultural Heritage Protection""",Repeal,72,The Dourian Embassy,,8859,3166,2013-12-07
276,"Repeal: ""The Early Learning Act""",Repeal,230,The Black Hat Guy,The Dourian Embassy,9605,2535,2013-12-19
277,"Repeal: ""Dignified End Of Life Choices""",Repeal,54,The Dourian Embassy,Mousebumples,8972,2383,2013-12-23
278,"Repeal: ""Anti-Cyberterrorism Act """,Repeal,100,The Dourian Embassy,,8921,2301,2014-01-12
279,Right Of Emigration,Human Rights,Significant,Abacathea,,9026,2627,2014-01-16
280,"Repeal: ""International Radio Act""",Repeal,75,Milograd,The Dourian Embassy,9609,1417,2014-01-20
281,Industrial Pollution Control,Environmental,All Businesses,Sakash,,7447,4361,2014-01-28
282,"Repeal: ""Protect War Correspondents""",Repeal,170,The Dourian Embassy,Venico,5928,4926,2014-02-01
283,"Repeal: ""Industrial Pollution Control """,Repeal,281,Auralia,,8029,3036,2014-02-17
284,"Repeal: ""Ethics In International Trade""",Repeal,118,Sciongrad,,8576,2364,2014-02-21
285,Assisted Suicide Act,Human Rights,Mild,Christian Democrats,,8052,3385,2014-02-25
